timestamp: 24-08-30 11:24:09
result of show command "show ipv4 int brief" for router name cord-deham-91-0002.mgmt.lab: 
Fri Aug 30 11:24:09.277 CEST
TenGigE0/1/0/0/2               unassigned      Up              Up       default 
TenGigE0/1/0/0/3               unassigned      Up              Up       default 
TenGigE0/1/0/1/0               unassigned      Down            Down     default 
TenGigE0/1/0/1/1               unassigned      Up              Up       default 
TenGigE0/1/0/1/2               unassigned      Up              Up       default 
TenGigE0/1/0/1/2.100           172.31.11.102   Up              Up       default 
TenGigE0/1/0/1/2.200           172.31.41.82    Up              Up       default 
TenGigE0/1/0/1/2.300           172.31.41.74    Up              Up       default 
TenGigE0/1/0/1/3               unassigned      Up              Up       default 
HundredGigE0/2/0/2             unassigned      Shutdown        Down     default 
HundredGigE0/2/0/3             unassigned      Shutdown        Down     default 
HundredGigE0/2/0/4             unassigned      Shutdown        Down     default 
HundredGigE0/2/0/5             unassigned      Shutdown        Down     default 
HundredGigE0/2/0/6             unassigned      Up              Up       default 
HundredGigE0/2/0/7             unassigned      Up              Up       default 
TenGigE0/2/0/0/0               unassigned      Up              Up       default 
TenGigE0/2/0/0/1               unassigned      Down            Down     default 
TenGigE0/2/0/0/2               unassigned      Up              Up       default 
TenGigE0/2/0/0/3               unassigned      Up              Up       default 
TenGigE0/2/0/1/0               unassigned      Up              Up       default 
TenGigE0/2/0/1/1               unassigned      Up              Up       default 
TenGigE0/2/0/1/2               unassigned      Up              Up       default 
TenGigE0/2/0/1/2.100           172.31.10.134   Up              Up       default 
TenGigE0/2/0/1/2.200           172.31.41.44    Up              Up       default 
TenGigE0/2/0/1/3               unassigned      Up              Up       default 
RP/0/RP0/CPU0:cord-deham-91-0002#
